Gen	avgX	bestX
0	0.50553	0.71608
1	0.46809	0.37310
2	0.41360	0.71561
3	0.44802	0.28592
4	0.61103	0.73736
5	0.70235	0.73785
6	0.74172	0.73685
7	0.74022	0.74371
8	0.73736	0.74805
9	0.73066	0.74723
10	0.72717	0.73260
11	0.73963	0.74469
12	0.73758	0.73259
13	0.74539	0.74870
14	0.73253	0.74872
15	0.73542	0.74872
16	0.74128	0.74872
17	0.74420	0.74872
18	0.74246	0.74872
19	0.73895	0.74872
20	0.73250	0.74481
21	0.73895	0.74872
22	0.73524	0.68620
23	0.73075	0.74872
24	0.74168	0.73309
25	0.74149	0.68622
26	0.74481	0.74872
27	0.74559	0.74872
28	0.74872	0.74872
29	0.74715	0.74870
30	0.74715	0.73309
31	0.74852	0.74481
32	0.74852	0.74872
33	0.74833	0.74872
34	0.74872	0.74872
35	0.74872	0.74872
36	0.74852	0.74872
37	0.74794	0.74872
38	0.74872	0.74870
39	0.74794	0.74872
40	0.74442	0.74872
41	0.74833	0.74872
42	0.74383	0.73309
43	0.73856	0.74872
44	0.74637	0.74872
45	0.74793	0.74872
46	0.74520	0.74872
47	0.74774	0.74872
48	0.74071	0.73309
49	0.73915	0.68622
50	0.74227	0.74872
51	0.74247	0.74872
52	0.74540	0.74871
53	0.74813	0.74481
54	0.74129	0.68231
55	0.74461	0.74481
56	0.74207	0.74872
57	0.73836	0.74872
58	0.74461	0.74870
59	0.74481	0.74872
60	0.74169	0.74872
61	0.73661	0.68622
62	0.74540	0.74872
63	0.74501	0.73309
64	0.74618	0.74872
65	0.74715	0.74872
66	0.74715	0.74872
67	0.74637	0.74872
68	0.74774	0.73309
69	0.74520	0.74872
70	0.74442	0.74872
71	0.73505	0.74872
72	0.73387	0.74481
73	0.73954	0.73309
74	0.74266	0.74872
75	0.74559	0.73309
76	0.74012	0.74872
77	0.74540	0.74872
78	0.74696	0.74872
79	0.74715	0.74870
80	0.74696	0.74872
81	0.74774	0.74872
82	0.74520	0.74870
83	0.74852	0.74870
84	0.74637	0.74872
85	0.74696	0.74872
86	0.74676	0.74481
87	0.74735	0.74872
88	0.74794	0.74872
89	0.74794	0.74872
90	0.74462	0.74872
91	0.74540	0.74872
92	0.74247	0.74872
93	0.74872	0.74872
94	0.74794	0.74872
95	0.74715	0.73309
96	0.73485	0.66668
97	0.74383	0.74870
98	0.74169	0.74872
99	0.74247	0.74871
100	0.74559	0.74872
101	0.74559	0.74872
102	0.74540	0.74872
103	0.74559	0.74872
104	0.74501	0.74872
105	0.74755	0.74872
106	0.74540	0.74872
107	0.74403	0.74872
108	0.74461	0.74872
109	0.74207	0.74872
110	0.74793	0.74872
111	0.74852	0.74870
112	0.74852	0.74872
113	0.74559	0.74872
114	0.74227	0.74872
115	0.74872	0.74872
116	0.74872	0.74872
117	0.74501	0.74872
118	0.74794	0.74871
119	0.74754	0.74481
120	0.74129	0.74872
121	0.74227	0.74871
122	0.74794	0.74872
123	0.74481	0.74870
124	0.74462	0.74872
125	0.74208	0.74872
126	0.74852	0.74872
127	0.74872	0.74872
128	0.74872	0.74872
129	0.74852	0.74872
130	0.73934	0.74872
131	0.73778	0.68622
132	0.74227	0.74870
133	0.73856	0.74872
134	0.73231	0.74872
135	0.74012	0.68622
136	0.74364	0.74872
137	0.74305	0.73309
138	0.74403	0.68622
139	0.74169	0.74872
140	0.74794	0.74872
141	0.74872	0.74872
142	0.74872	0.74872
143	0.74559	0.74872
144	0.74833	0.74870
145	0.74559	0.74872
146	0.74872	0.74872
147	0.74872	0.74872
148	0.74872	0.74872
149	0.74247	0.74872
150	0.74481	0.74872
151	0.74540	0.74872
152	0.74559	0.74872
153	0.73622	0.68622
154	0.74559	0.74872
155	0.73856	0.74872
156	0.74383	0.74871
157	0.74403	0.74871
158	0.74481	0.74872
159	0.74149	0.74871
160	0.74169	0.74872
161	0.74461	0.73308
162	0.74794	0.74872
163	0.74715	0.74872
164	0.74715	0.74871
165	0.74637	0.74872
166	0.74872	0.74872
167	0.74833	0.74872
168	0.74676	0.74872
169	0.74872	0.74872
170	0.74462	0.74872
171	0.74462	0.74872
172	0.74286	0.74872
173	0.74188	0.74872
174	0.74637	0.73309
175	0.74793	0.74872
176	0.74852	0.74872
177	0.74422	0.74872
178	0.74383	0.74872
179	0.74833	0.74872
180	0.74383	0.74481
181	0.74598	0.74872
182	0.74442	0.74872
183	0.74461	0.67059
184	0.74461	0.74870
185	0.74540	0.74872
186	0.74130	0.68231
187	0.74247	0.74872
188	0.73993	0.74871
189	0.74305	0.74872
190	0.74266	0.74872
191	0.74286	0.73309
192	0.74657	0.74872
193	0.74540	0.74872
194	0.74774	0.74872
195	0.74716	0.74872
196	0.74598	0.74872
197	0.74794	0.74872
198	0.74696	0.74872
199	0.74618	0.74872
