Gen	avgX	bestX
0	0.65693	0.55568
1	0.63182	0.31118
2	0.60769	0.30309
3	0.61441	0.70991
4	0.64220	0.71772
5	0.67133	0.76420
6	0.70045	0.63676
7	0.78054	0.73549
8	0.79403	0.76029
9	0.78122	0.76029
10	0.78386	0.76040
11	0.78831	0.76040
12	0.75392	0.75994
13	0.75906	0.75798
14	0.70677	0.76042
15	0.72477	0.75798
16	0.74897	0.75798
17	0.76166	0.75798
18	0.75836	0.75797
19	0.74579	0.75797
20	0.75182	0.75992
21	0.76444	0.75992
22	0.76134	0.78970
23	0.75968	0.75798
24	0.75963	0.75797
25	0.75670	0.78922
26	0.77877	0.75797
27	0.77388	0.78922
28	0.78013	0.78922
29	0.78621	0.75992
30	0.78951	0.75797
31	0.75885	0.75797
32	0.78387	0.75992
33	0.77789	0.75992
34	0.76851	0.75797
35	0.74940	0.75797
36	0.75091	0.75992
37	0.73077	0.78922
38	0.74940	0.75797
39	0.75406	0.75797
40	0.72745	0.76041
41	0.70848	0.75797
42	0.72088	0.75797
43	0.73326	0.75797
44	0.74859	0.75797
45	0.75797	0.75797
46	0.75797	0.75797
47	0.73931	0.75797
48	0.75797	0.75797
49	0.76422	0.75797
50	0.75797	0.75797
51	0.75797	0.75797
52	0.76434	0.75797
53	0.75801	0.75797
54	0.73929	0.75845
55	0.73467	0.75992
56	0.75809	0.75797
57	0.75184	0.75797
58	0.74578	0.75797
59	0.74278	0.75797
60	0.74766	0.75797
61	0.74627	0.75797
62	0.75865	0.75845
63	0.77250	0.75993
64	0.79125	0.75846
65	0.77704	0.75797
66	0.72684	0.75797
67	0.73314	0.75797
68	0.74547	0.75797
69	0.73922	0.75797
70	0.74547	0.75797
71	0.75823	0.75797
72	0.75797	0.75797
73	0.75172	0.75797
74	0.75797	0.75797
75	0.75965	0.75797
76	0.73612	0.75797
77	0.74239	0.75797
78	0.75955	0.75797
79	0.76893	0.75797
80	0.77362	0.78922
81	0.77206	0.78922
82	0.76893	0.78922
83	0.76427	0.75797
84	0.72987	0.78922
85	0.74393	0.75797
86	0.74862	0.75797
87	0.74725	0.75797
88	0.73306	0.75797
89	0.73316	0.75797
90	0.74090	0.75797
91	0.75963	0.75797
92	0.75806	0.75797
93	0.75806	0.75797
94	0.75799	0.75845
95	0.75806	0.75797
96	0.75953	0.75797
97	0.73629	0.75797
98	0.73641	0.75992
99	0.70985	0.75992
100	0.72235	0.75992
101	0.72069	0.75992
102	0.74598	0.75797
103	0.75220	0.75797
104	0.73345	0.75992
105	0.72215	0.75797
106	0.72371	0.75797
107	0.73458	0.75797
108	0.74085	0.75797
109	0.72679	0.75797
110	0.75357	0.75797
111	0.75961	0.75798
112	0.77699	0.75798
113	0.75831	0.75846
114	0.73329	0.75797
115	0.72059	0.75798
116	0.77086	0.75797
117	0.78326	0.75798
118	0.77542	0.75797
119	0.77074	0.75797
120	0.77081	0.75797
121	0.76607	0.75797
122	0.76583	0.75797
123	0.76431	0.75797
124	0.77833	0.75797
125	0.75955	0.75797
126	0.76424	0.75797
127	0.74705	0.75797
128	0.76163	0.75845
129	0.76932	0.75797
130	0.75201	0.75797
131	0.76434	0.75797
132	0.77047	0.75797
133	0.75797	0.75797
134	0.75953	0.75797
135	0.76429	0.75797
136	0.75799	0.75797
137	0.75799	0.75797
138	0.76925	0.75797
139	0.73817	0.75797
140	0.76434	0.78922
141	0.77069	0.75797
142	0.76461	0.75797
143	0.75846	0.75797
144	0.73956	0.75797
145	0.75235	0.75992
146	0.75228	0.75992
147	0.75240	0.75846
148	0.77103	0.75992
149	0.79727	0.75797
150	0.76898	0.75797
151	0.76432	0.75798
152	0.76424	0.75797
153	0.75179	0.75798
154	0.75177	0.75797
155	0.74552	0.75797
156	0.74576	0.75992
157	0.75972	0.75797
158	0.75953	0.78922
159	0.77203	0.75797
160	0.75809	0.75797
161	0.75799	0.75797
162	0.75816	0.75797
163	0.74549	0.75797
164	0.75797	0.75797
165	0.76424	0.75797
166	0.75955	0.75797
167	0.75953	0.66422
168	0.75640	0.75797
169	0.75494	0.75797
170	0.77047	0.75797
171	0.77047	0.75797
172	0.77362	0.75797
173	0.72232	0.75797
174	0.72232	0.75797
175	0.71597	0.75797
176	0.69556	0.75797
177	0.70338	0.75797
178	0.67069	0.75797
179	0.65806	0.75797
180	0.67213	0.75797
181	0.68143	0.75797
182	0.66610	0.75797
183	0.71470	0.75797
184	0.75860	0.75992
185	0.74569	0.75992
186	0.73306	0.75992
187	0.72691	0.75797
188	0.72203	0.75797
189	0.72520	0.75797
190	0.70816	0.75797
191	0.73006	0.75797
192	0.73492	0.75797
193	0.75985	0.75992
194	0.76119	0.75797
195	0.76278	0.75845
196	0.76593	0.75797
197	0.75645	0.75797
198	0.72359	0.75797
199	0.74722	0.75797
