Gen	avgX	bestX
0	0.45933	0.11512
1	0.64270	0.77905
2	0.64437	0.80693
3	0.74040	0.79753
4	0.73547	0.73207
5	0.76060	0.73237
6	0.75775	0.78999
7	0.76039	0.76265
8	0.75890	0.75944
9	0.76075	0.75950
10	0.76541	0.79780
11	0.75052	0.75944
12	0.72678	0.75944
13	0.74834	0.79069
14	0.74826	0.75944
15	0.73580	0.75944
16	0.73580	0.75944
17	0.73581	0.75944
18	0.72306	0.75846
19	0.72306	0.75944
20	0.73736	0.75846
21	0.76227	0.75943
22	0.77149	0.75846
23	0.78688	0.75846
24	0.76651	0.75846
25	0.75875	0.75846
26	0.75895	0.75943
27	0.75875	0.75846
28	0.75865	0.75846
29	0.76490	0.75943
30	0.75221	0.75846
31	0.73502	0.75846
32	0.72096	0.75846
33	0.75250	0.75846
34	0.74625	0.76041
35	0.72135	0.75846
36	0.72135	0.75846
37	0.74781	0.75846
38	0.74625	0.75846
39	0.75855	0.75846
40	0.77731	0.75846
41	0.78981	0.75846
42	0.77115	0.75846
43	0.75240	0.75846
44	0.72730	0.75846
45	0.72887	0.75846
46	0.73355	0.76041
47	0.74605	0.75846
48	0.74771	0.75846
49	0.74156	0.75846
50	0.76471	0.75846
51	0.76002	0.75846
52	0.75846	0.75846
53	0.76783	0.75846
54	0.76002	0.75846
55	0.76168	0.75846
56	0.76353	0.79166
57	0.76978	0.79166
58	0.76959	0.75846
59	0.77271	0.75846
60	0.77096	0.75846
61	0.77887	0.75846
62	0.77252	0.75846
63	0.76012	0.75846
64	0.76314	0.78971
65	0.76158	0.75846
66	0.74596	0.75846
67	0.73971	0.75846
68	0.71471	0.75846
69	0.72105	0.75846
70	0.76041	0.75846
71	0.77096	0.75846
72	0.75230	0.75846
73	0.75396	0.75846
74	0.76803	0.75846
75	0.75377	0.75846
76	0.76471	0.75846
77	0.77096	0.75846
78	0.76647	0.75846
79	0.75250	0.75846
80	0.77301	0.75846
81	0.76715	0.75846
82	0.76080	0.76041
83	0.76207	0.75846
84	0.76188	0.75846
85	0.76207	0.75846
86	0.76988	0.75846
87	0.76998	0.76041
88	0.76363	0.75846
89	0.76940	0.75846
90	0.76940	0.75846
91	0.77877	0.75846
92	0.76471	0.75846
93	0.77721	0.75846
94	0.73190	0.75846
95	0.71939	0.75846
96	0.73502	0.75846
97	0.75387	0.76041
98	0.77418	0.75846
99	0.76012	0.75846
100	0.75387	0.75846
101	0.74625	0.75846
102	0.77281	0.75846
103	0.76500	0.75846
104	0.75221	0.75846
105	0.74127	0.75846
106	0.76002	0.78971
107	0.74752	0.75846
108	0.75846	0.75846
109	0.76168	0.75846
110	0.75856	0.75846
111	0.75230	0.75846
112	0.73687	0.75846
113	0.74752	0.75846
114	0.75221	0.75846
115	0.74127	0.75846
116	0.75377	0.75846
117	0.72877	0.75846
118	0.68971	0.75846
119	0.68502	0.75846
120	0.70221	0.78971
121	0.70221	0.78971
122	0.71471	0.75846
123	0.71471	0.75846
124	0.71314	0.75846
125	0.72877	0.75846
126	0.74605	0.75846
127	0.75846	0.75846
128	0.76158	0.75846
129	0.76627	0.75846
130	0.76002	0.75846
131	0.75855	0.75846
132	0.76480	0.75846
133	0.76783	0.75846
134	0.77564	0.75846
135	0.74752	0.75846
136	0.74127	0.75846
137	0.76158	0.75846
138	0.78815	0.78971
139	0.79440	0.75846
140	0.74283	0.75846
141	0.68658	0.75846
142	0.72252	0.75846
143	0.74313	0.75846
144	0.75426	0.79166
145	0.76803	0.75846
146	0.78678	0.75846
147	0.78668	0.75846
148	0.77574	0.75846
149	0.73981	0.75846
150	0.73844	0.75846
151	0.76168	0.76041
152	0.75074	0.78971
153	0.76471	0.75846
154	0.75533	0.75846
155	0.73346	0.75846
156	0.75221	0.75846
157	0.75846	0.75846
158	0.73365	0.75846
159	0.77750	0.75846
160	0.77896	0.76041
161	0.74771	0.75846
162	0.74615	0.75846
163	0.70846	0.75846
164	0.72096	0.75846
165	0.72096	0.75846
166	0.73346	0.75846
167	0.76158	0.75846
168	0.75865	0.75846
169	0.75846	0.75846
170	0.75855	0.75846
171	0.78346	0.75846
172	0.76627	0.75846
173	0.76627	0.75846
174	0.77105	0.75846
175	0.76490	0.75846
176	0.75396	0.75846
177	0.74781	0.75846
178	0.74771	0.76041
179	0.76783	0.78971
180	0.76471	0.75846
181	0.75846	0.75846
182	0.77096	0.75846
183	0.76940	0.75846
184	0.75074	0.75846
185	0.76481	0.75846
186	0.73199	0.78971
187	0.73990	0.75846
188	0.75543	0.75846
189	0.76187	0.75846
190	0.75865	0.75846
191	0.74605	0.75846
192	0.73365	0.75846
193	0.76031	0.75846
194	0.76490	0.75846
195	0.76471	0.75846
196	0.75855	0.75846
197	0.77096	0.75846
198	0.75846	0.75846
199	0.75230	0.76041
