Gen	avgX	bestX
0	0.44793	0.23068
1	0.53734	0.24057
2	0.56340	0.23068
3	0.67646	0.69106
4	0.72198	0.76245
5	0.73820	0.69887
6	0.73310	0.69887
7	0.74677	0.69887
8	0.74980	0.76237
9	0.76049	0.76245
10	0.75293	0.75359
11	0.78818	0.75846
12	0.78185	0.75843
13	0.77055	0.76140
14	0.76556	0.78968
15	0.75819	0.75843
16	0.75848	0.76038
17	0.75892	0.75843
18	0.76038	0.75842
19	0.73372	0.76042
20	0.75257	0.75843
21	0.77747	0.75842
22	0.77415	0.75843
23	0.76311	0.75842
24	0.76008	0.75842
25	0.76477	0.75842
26	0.74592	0.75842
27	0.75862	0.75843
28	0.74622	0.75842
29	0.76477	0.75842
30	0.74924	0.78967
31	0.76038	0.78967
32	0.76819	0.76038
33	0.74465	0.78968
34	0.72415	0.78967
35	0.74758	0.75842
36	0.75071	0.75842
37	0.77093	0.75842
38	0.71780	0.75842
39	0.74759	0.75842
40	0.75247	0.76038
41	0.74612	0.75842
42	0.76165	0.75843
43	0.75852	0.75842
44	0.75843	0.75842
45	0.77718	0.75842
46	0.76467	0.75842
47	0.75882	0.75842
48	0.76809	0.75843
49	0.76321	0.78968
50	0.76175	0.75842
51	0.77093	0.75842
52	0.77718	0.75843
53	0.75852	0.75842
54	0.76477	0.75842
55	0.74934	0.75843
56	0.74954	0.75842
57	0.75891	0.76038
58	0.75882	0.75842
59	0.73362	0.76038
60	0.70872	0.75842
61	0.74613	0.75845
62	0.76488	0.75843
63	0.76019	0.75846
64	0.74749	0.75842
65	0.76009	0.75842
66	0.76468	0.75843
67	0.75257	0.75842
68	0.74905	0.75842
69	0.76780	0.75842
70	0.75061	0.75842
71	0.73665	0.75842
72	0.73968	0.75842
73	0.73811	0.75842
74	0.74436	0.75842
75	0.73967	0.75842
76	0.73811	0.75843
77	0.76780	0.75842
78	0.75247	0.75842
79	0.75227	0.75842
80	0.74593	0.75842
81	0.74592	0.75842
82	0.70842	0.75842
83	0.78030	0.75842
84	0.78040	0.76038
85	0.79436	0.75842
86	0.79612	0.78967
87	0.81321	0.75842
88	0.79759	0.75843
89	0.78186	0.75843
90	0.75550	0.75843
91	0.71829	0.75843
92	0.75384	0.75843
93	0.77093	0.75842
94	0.77249	0.75842
95	0.74749	0.75842
96	0.76311	0.78967
97	0.76155	0.75842
98	0.76028	0.75843
99	0.75227	0.75842
100	0.73967	0.75842
101	0.72747	0.75842
102	0.72093	0.75842
103	0.74613	0.75842
104	0.74134	0.75843
105	0.68353	0.75842
106	0.65862	0.76038
107	0.62268	0.76038
108	0.67728	0.75846
109	0.68529	0.75842
110	0.66967	0.75842
111	0.69301	0.63342
112	0.71167	0.76041
113	0.72250	0.75842
114	0.76000	0.75845
115	0.75843	0.75842
116	0.71624	0.75843
117	0.73968	0.75843
118	0.76165	0.75845
119	0.72738	0.75845
120	0.72249	0.75845
121	0.73372	0.75842
122	0.77747	0.75842
123	0.75862	0.75842
124	0.75842	0.75842
125	0.74280	0.75842
126	0.71633	0.75842
127	0.71477	0.75842
128	0.72415	0.75842
129	0.70540	0.75842
130	0.73508	0.75842
131	0.66633	0.75842
132	0.64592	0.75843
133	0.63977	0.75843
134	0.66634	0.75843
135	0.66487	0.75843
136	0.68968	0.75842
137	0.70218	0.75842
138	0.73968	0.75843
139	0.74749	0.75842
140	0.74905	0.75842
141	0.77406	0.75845
142	0.76175	0.75842
143	0.76653	0.76038
144	0.74661	0.75843
145	0.74651	0.75842
146	0.74143	0.75842
147	0.73977	0.75842
148	0.74632	0.76038
149	0.73362	0.75843
150	0.74612	0.75843
151	0.75247	0.75842
152	0.73343	0.75843
153	0.73353	0.75843
154	0.76018	0.76038
155	0.76018	0.75842
156	0.76018	0.75842
157	0.76497	0.75842
158	0.73987	0.75842
159	0.77112	0.75842
160	0.75862	0.75842
161	0.75247	0.75842
162	0.75872	0.75842
163	0.75247	0.75842
164	0.73372	0.75842
165	0.72737	0.75842
166	0.75852	0.75842
167	0.71487	0.75842
168	0.73509	0.75842
169	0.73665	0.75846
170	0.73675	0.75842
171	0.74290	0.75842
172	0.72102	0.76041
173	0.74290	0.75842
174	0.75540	0.76041
175	0.75061	0.75842
176	0.74915	0.75845
177	0.75218	0.75845
178	0.74143	0.78967
179	0.71477	0.75842
180	0.70217	0.75842
181	0.73655	0.75842
182	0.74749	0.75845
183	0.74593	0.75845
184	0.75852	0.75842
185	0.75237	0.75842
186	0.75217	0.75842
187	0.75852	0.75842
188	0.74759	0.75842
189	0.75227	0.75843
190	0.73967	0.75842
191	0.74915	0.75842
192	0.75999	0.75842
193	0.72717	0.75842
194	0.74592	0.75842
195	0.73342	0.75842
196	0.73499	0.75842
197	0.74592	0.75842
198	0.75852	0.75842
199	0.74602	0.75842
