Gen	avgX	bestX
0	0.54162	0.83233
1	0.55957	0.37172
2	0.63469	0.63765
3	0.67742	0.18442
4	0.69884	0.79273
5	0.65965	0.79273
6	0.69336	0.63765
7	0.65757	0.68441
8	0.67608	0.74887
9	0.67154	0.17002
10	0.71049	0.68638
11	0.72061	0.68630
12	0.72615	0.68648
13	0.73545	0.68434
14	0.74815	0.74898
15	0.74895	0.74898
16	0.74563	0.74892
17	0.74268	0.74873
18	0.73918	0.74898
19	0.74250	0.68648
20	0.73641	0.74901
21	0.74250	0.74892
22	0.74872	0.74870
23	0.74777	0.74895
24	0.74777	0.73338
25	0.74780	0.74901
26	0.74175	0.74901
27	0.74119	0.74901
28	0.74041	0.74901
29	0.73260	0.73338
30	0.73319	0.74901
31	0.72536	0.74900
32	0.72710	0.68650
33	0.72321	0.73338
34	0.72868	0.74901
35	0.73551	0.74876
36	0.74467	0.74901
37	0.74738	0.74876
38	0.74733	0.74901
39	0.74599	0.74504
40	0.74776	0.74876
41	0.74790	0.74876
42	0.74827	0.74876
43	0.74126	0.74876
44	0.74324	0.72947
45	0.74266	0.72947
46	0.74796	0.74895
47	0.74506	0.74895
48	0.74817	0.74895
49	0.74876	0.74895
50	0.74880	0.74510
51	0.74822	0.74510
52	0.74138	0.74901
53	0.73627	0.68651
54	0.74094	0.74901
55	0.74854	0.74895
56	0.74875	0.74895
57	0.74562	0.74901
58	0.74527	0.74895
59	0.74881	0.74895
60	0.74899	0.74901
61	0.74840	0.74901
62	0.74508	0.74510
63	0.74253	0.68651
64	0.74196	0.74900
65	0.73943	0.68651
66	0.73611	0.74901
67	0.73630	0.74901
68	0.74275	0.74901
69	0.74588	0.74901
70	0.74432	0.74901
71	0.73942	0.74901
72	0.73924	0.74901
73	0.74487	0.74486
74	0.74156	0.68651
75	0.74724	0.74901
76	0.74745	0.74901
77	0.74351	0.74895
78	0.74429	0.74901
79	0.74662	0.74901
80	0.74881	0.74901
81	0.74743	0.74901
82	0.74428	0.74895
83	0.74117	0.74901
84	0.74821	0.74901
85	0.74878	0.74901
86	0.74879	0.74895
87	0.74860	0.74895
88	0.74587	0.74895
89	0.74587	0.74901
90	0.73943	0.74901
91	0.73865	0.74901
92	0.74022	0.74901
93	0.74410	0.74901
94	0.74196	0.73338
95	0.73729	0.74901
96	0.73787	0.74901
97	0.74490	0.74895
98	0.74567	0.74901
99	0.74762	0.74900
100	0.74704	0.74901
101	0.74569	0.74901
102	0.74821	0.74900
103	0.74820	0.74901
104	0.74859	0.74504
105	0.74823	0.73338
106	0.74803	0.74510
107	0.74901	0.74901
108	0.74588	0.74901
109	0.74880	0.74901
110	0.74195	0.74901
111	0.74509	0.74901
112	0.74802	0.74900
113	0.74722	0.74901
114	0.74567	0.74901
115	0.74236	0.74901
116	0.74548	0.74895
117	0.74803	0.74901
118	0.74880	0.74901
119	0.73941	0.74901
120	0.74116	0.74901
121	0.74487	0.74901
122	0.74271	0.74900
123	0.73961	0.74901
124	0.74587	0.74901
125	0.74859	0.74901
126	0.74743	0.74510
127	0.74645	0.74901
128	0.74742	0.73314
129	0.74900	0.74901
130	0.74900	0.74901
131	0.74900	0.74901
132	0.74900	0.74901
133	0.74821	0.74901
134	0.74823	0.74901
135	0.74196	0.68651
136	0.74900	0.74901
137	0.74897	0.74895
138	0.74821	0.74901
139	0.74269	0.74876
140	0.73643	0.74895
141	0.74565	0.74901
142	0.73650	0.74895
143	0.74900	0.74895
144	0.74899	0.74901
145	0.74899	0.74901
146	0.74899	0.74901
147	0.73337	0.74901
148	0.74587	0.74895
149	0.74899	0.74895
150	0.74509	0.74901
151	0.74822	0.74901
152	0.74744	0.74901
153	0.74823	0.74900
154	0.74901	0.74900
155	0.74862	0.74900
156	0.74899	0.74901
157	0.74273	0.74901
158	0.74178	0.74901
159	0.74411	0.73338
160	0.74802	0.74901
161	0.74880	0.74901
162	0.74859	0.74900
163	0.74251	0.74901
164	0.74862	0.74901
165	0.74802	0.74900
166	0.74509	0.74901
167	0.74588	0.74901
168	0.74194	0.74870
169	0.73610	0.74510
170	0.73944	0.74901
171	0.74178	0.74901
172	0.74588	0.74901
173	0.74276	0.74901
174	0.74802	0.73338
175	0.74509	0.74895
176	0.74646	0.74901
177	0.74897	0.74901
178	0.74819	0.74510
179	0.74798	0.74901
180	0.74892	0.74876
181	0.74875	0.74901
182	0.74878	0.74901
183	0.74177	0.74901
184	0.73960	0.74901
185	0.74190	0.74901
186	0.74586	0.74901
187	0.74585	0.74901
188	0.74587	0.74901
189	0.74255	0.74900
190	0.74685	0.74901
191	0.73943	0.74901
192	0.72926	0.68644
193	0.74175	0.74901
194	0.74427	0.74901
195	0.74820	0.74895
196	0.74821	0.74901
197	0.74117	0.74901
198	0.74036	0.74901
199	0.74566	0.74901
