Gen	avgX	bestX
0	0.51816	0.78342
1	0.62894	0.64061
2	0.62502	0.44385
3	0.55486	0.65843
4	0.59238	0.57362
5	0.58373	0.76561
6	0.59598	0.44385
7	0.62270	0.76560
8	0.71228	0.75998
9	0.67443	0.75993
10	0.63626	0.75852
11	0.68186	0.75635
12	0.68936	0.23332
13	0.72567	0.75651
14	0.75839	0.75993
15	0.75752	0.75601
16	0.77027	0.75839
17	0.74517	0.75287
18	0.75715	0.75681
19	0.72800	0.75678
20	0.73090	0.75839
21	0.76320	0.75681
22	0.75794	0.78807
23	0.75648	0.75675
24	0.77171	0.75650
25	0.76644	0.75682
26	0.76893	0.75645
27	0.71874	0.76463
28	0.74419	0.75682
29	0.76502	0.75682
30	0.76598	0.75682
31	0.76598	0.75682
32	0.75209	0.75682
33	0.75423	0.75291
34	0.76616	0.75682
35	0.75423	0.75682
36	0.78042	0.75682
37	0.73941	0.75682
38	0.76461	0.75682
39	0.76148	0.75682
40	0.75838	0.75682
41	0.74471	0.75682
42	0.75994	0.75682
43	0.74586	0.75682
44	0.76655	0.75682
45	0.76537	0.75682
46	0.76497	0.78807
47	0.76009	0.75657
48	0.76849	0.75682
49	0.76145	0.75675
50	0.75191	0.75291
51	0.73472	0.75651
52	0.73609	0.75291
53	0.76851	0.75682
54	0.73316	0.75291
55	0.74548	0.75291
56	0.74371	0.75682
57	0.76541	0.75291
58	0.76307	0.75291
59	0.75876	0.75682
60	0.75759	0.75682
61	0.74644	0.78807
62	0.75660	0.76463
63	0.76363	0.75675
64	0.74956	0.75682
65	0.75035	0.75291
66	0.73356	0.75682
67	0.74411	0.75675
68	0.75779	0.75682
69	0.76266	0.75675
70	0.76616	0.75682
71	0.74430	0.75682
72	0.75623	0.75291
73	0.74373	0.75682
74	0.74411	0.75682
75	0.74783	0.75682
76	0.75680	0.75682
77	0.71969	0.75682
78	0.72322	0.75682
79	0.77008	0.75682
80	0.76128	0.75682
81	0.75953	0.75682
82	0.76971	0.75682
83	0.76971	0.75682
84	0.76383	0.76463
85	0.77049	0.75682
86	0.76950	0.75675
87	0.77459	0.75291
88	0.76266	0.75682
89	0.77067	0.75682
90	0.74857	0.75682
91	0.74837	0.75657
92	0.73237	0.75682
93	0.73335	0.75682
94	0.73295	0.75682
95	0.74566	0.75682
96	0.75815	0.75682
97	0.77046	0.75682
98	0.76424	0.75682
99	0.77107	0.75682
100	0.77225	0.75682
101	0.76286	0.75682
102	0.77537	0.75682
103	0.77068	0.75682
104	0.74684	0.75657
105	0.73220	0.76463
106	0.76559	0.75682
107	0.76442	0.75682
108	0.76069	0.75682
109	0.74465	0.75682
110	0.73883	0.76463
111	0.75408	0.75682
112	0.72145	0.75682
113	0.72575	0.78807
114	0.76970	0.78807
115	0.77320	0.75675
116	0.72691	0.75682
117	0.72514	0.75291
118	0.73645	0.75675
119	0.75054	0.75682
120	0.77106	0.75682
121	0.77556	0.75682
122	0.77556	0.75682
123	0.71930	0.75682
124	0.73180	0.75682
125	0.75816	0.78807
126	0.74430	0.75682
127	0.74584	0.75682
128	0.74624	0.75682
129	0.72439	0.75682
130	0.73377	0.75682
131	0.76248	0.75291
132	0.75641	0.75675
133	0.73220	0.75682
134	0.72068	0.75682
135	0.75836	0.75682
136	0.76443	0.75682
137	0.74586	0.75682
138	0.74899	0.78807
139	0.73473	0.75682
140	0.75679	0.75682
141	0.75701	0.75682
142	0.76306	0.75682
143	0.75837	0.75682
144	0.75740	0.75682
145	0.77185	0.78807
146	0.75779	0.75682
147	0.75736	0.75682
148	0.75834	0.75291
149	0.71970	0.75675
150	0.75564	0.75682
151	0.73063	0.75291
152	0.74273	0.75682
153	0.73863	0.75675
154	0.72691	0.75682
155	0.73901	0.75675
156	0.73078	0.75682
157	0.71828	0.75291
158	0.69290	0.75291
159	0.69487	0.75682
160	0.68704	0.75682
161	0.74959	0.75291
162	0.74996	0.75291
163	0.76265	0.75682
164	0.74528	0.75682
165	0.72029	0.75682
166	0.72574	0.75682
167	0.77555	0.75682
168	0.75757	0.75682
169	0.75758	0.75675
170	0.75681	0.75682
171	0.76305	0.75682
172	0.75681	0.75682
173	0.75720	0.75682
174	0.73845	0.75682
175	0.74430	0.75682
176	0.73177	0.75682
177	0.74430	0.75682
178	0.71932	0.75682
179	0.75682	0.75682
180	0.71871	0.75657
181	0.74799	0.75682
182	0.74973	0.75682
183	0.74781	0.75682
184	0.77123	0.75657
185	0.75441	0.75657
186	0.75714	0.75682
187	0.75870	0.75657
188	0.77007	0.75682
189	0.74466	0.75657
190	0.75698	0.75682
191	0.75758	0.75682
192	0.73219	0.75682
193	0.74585	0.75682
194	0.74545	0.75682
195	0.74426	0.75651
196	0.73176	0.75682
197	0.75641	0.75675
198	0.75056	0.75682
199	0.75798	0.75682
