Gen	avgX	bestX
0	0.45130	0.56237
1	0.41031	0.20032
2	0.45536	0.44342
3	0.46196	0.44342
4	0.48640	0.78075
5	0.55087	0.78075
6	0.56893	0.80703
7	0.71603	0.75994
8	0.71510	0.77554
9	0.77175	0.75992
10	0.76545	0.75994
11	0.74358	0.75991
12	0.71621	0.63490
13	0.71621	0.75991
14	0.71777	0.63490
15	0.73655	0.75993
16	0.70993	0.75993
17	0.72873	0.75990
18	0.74440	0.75993
19	0.75373	0.75990
20	0.75678	0.75993
21	0.75053	0.75993
22	0.72865	0.79115
23	0.76928	0.75990
24	0.76303	0.79115
25	0.76146	0.75990
26	0.74740	0.75990
27	0.75992	0.75990
28	0.75992	0.75990
29	0.78492	0.75990
30	0.78497	0.75990
31	0.75997	0.75990
32	0.76632	0.75990
33	0.75694	0.76038
34	0.76319	0.75990
35	0.76007	0.76039
36	0.76630	0.76039
37	0.76010	0.76039
38	0.76003	0.76038
39	0.76002	0.75990
40	0.76007	0.75990
41	0.76149	0.75990
42	0.75990	0.75993
43	0.75990	0.75990
44	0.76773	0.75990
45	0.77240	0.75990
46	0.78802	0.75990
47	0.77396	0.79115
48	0.76615	0.75990
49	0.77552	0.75990
50	0.76930	0.79115
51	0.75523	0.75990
52	0.76148	0.75990
53	0.75995	0.75990
54	0.76617	0.76038
55	0.77240	0.75990
56	0.77245	0.75990
57	0.74273	0.75990
58	0.74896	0.75990
59	0.74896	0.75990
60	0.72240	0.75990
61	0.71617	0.75993
62	0.74120	0.75993
63	0.75990	0.75990
64	0.75993	0.75990
65	0.74742	0.75990
66	0.74115	0.75990
67	0.76148	0.76038
68	0.75992	0.75990
69	0.75990	0.75990
70	0.77244	0.75990
71	0.75994	0.75990
72	0.74745	0.75990
73	0.73495	0.75990
74	0.75994	0.75990
75	0.75990	0.75990
76	0.75990	0.75990
77	0.75995	0.75990
78	0.73802	0.75993
79	0.74740	0.75990
80	0.75990	0.75993
81	0.76151	0.75990
82	0.76159	0.75990
83	0.77089	0.75990
84	0.75370	0.75990
85	0.76928	0.75990
86	0.74117	0.75990
87	0.75680	0.75990
88	0.75521	0.75990
89	0.76148	0.75990
90	0.77240	0.75990
91	0.74904	0.75993
92	0.76149	0.75990
93	0.76147	0.79115
94	0.74741	0.75993
95	0.74427	0.75990
96	0.74896	0.75990
97	0.72396	0.75990
98	0.75990	0.75990
99	0.76617	0.75990
100	0.76776	0.79118
101	0.76302	0.75990
102	0.76461	0.75990
103	0.78023	0.75990
104	0.76771	0.75990
105	0.75521	0.75990
106	0.74896	0.75990
107	0.75521	0.75990
108	0.73490	0.75990
109	0.75052	0.75990
110	0.73021	0.75990
111	0.75990	0.75990
112	0.76930	0.75990
113	0.77083	0.75990
114	0.76302	0.75990
115	0.74274	0.75990
116	0.78021	0.75990
117	0.76302	0.75990
118	0.75053	0.75990
119	0.73808	0.75990
120	0.73808	0.75990
121	0.74898	0.75990
122	0.76147	0.75993
123	0.73491	0.75993
124	0.76147	0.75993
125	0.74743	0.75993
126	0.75368	0.75993
127	0.76147	0.75993
128	0.75368	0.75990
129	0.76306	0.75990
130	0.75678	0.75990
131	0.76459	0.75990
132	0.76774	0.75990
133	0.76151	0.75990
134	0.73024	0.75990
135	0.75992	0.75990
136	0.77399	0.75993
137	0.78021	0.79115
138	0.77865	0.75990
139	0.75990	0.75990
140	0.76615	0.75990
141	0.74742	0.75990
142	0.75992	0.75990
143	0.77869	0.75990
144	0.75999	0.75990
145	0.75990	0.75990
146	0.74896	0.75990
147	0.69740	0.75990
148	0.77401	0.75990
149	0.77398	0.75990
150	0.77867	0.75990
151	0.76619	0.75990
152	0.78033	0.75990
153	0.73507	0.76038
154	0.73499	0.75990
155	0.71004	0.75990
156	0.68656	0.75990
157	0.74901	0.75990
158	0.73028	0.75990
159	0.75993	0.75990
160	0.76620	0.75990
161	0.74430	0.75990
162	0.75836	0.75990
163	0.72396	0.75993
164	0.73490	0.75990
165	0.72242	0.75990
166	0.74747	0.75990
167	0.76315	0.79118
168	0.73815	0.75990
169	0.75526	0.75990
170	0.76771	0.79118
171	0.74740	0.75990
172	0.75990	0.75990
173	0.75990	0.75990
174	0.75365	0.75990
175	0.77865	0.75990
176	0.77240	0.75990
177	0.76146	0.75990
178	0.75677	0.75990
179	0.75990	0.75990
180	0.76771	0.75990
181	0.76146	0.75990
182	0.75990	0.75990
183	0.75990	0.75990
184	0.76148	0.75990
185	0.77396	0.75990
186	0.76461	0.75990
187	0.77240	0.75990
188	0.77866	0.75990
189	0.77865	0.79115
190	0.79115	0.75990
191	0.79896	0.79115
192	0.78021	0.75990
193	0.73490	0.75990
194	0.74896	0.75990
195	0.75990	0.75990
196	0.75995	0.75990
197	0.76620	0.75990
198	0.77250	0.75990
199	0.77875	0.76038
