Gen	avgX	bestX
0	0.50023	0.33531
1	0.53454	0.08657
2	0.54076	0.66861
3	0.53031	0.80491
4	0.56585	0.80491
5	0.58290	0.16471
6	0.65062	0.16733
7	0.65618	0.73130
8	0.71182	0.74478
9	0.73545	0.68294
10	0.74043	0.74295
11	0.74214	0.74282
12	0.73731	0.74295
13	0.73723	0.74283
14	0.74246	0.74676
15	0.74156	0.74673
16	0.74451	0.74697
17	0.74703	0.74676
18	0.74711	0.74672
19	0.74761	0.74697
20	0.73654	0.74700
21	0.74043	0.74868
22	0.74442	0.74481
23	0.74744	0.74868
24	0.74831	0.74868
25	0.74850	0.74871
26	0.74245	0.74871
27	0.73933	0.74871
28	0.74187	0.74871
29	0.74831	0.74870
30	0.74754	0.73309
31	0.74851	0.74871
32	0.74852	0.74871
33	0.74071	0.67059
34	0.73231	0.74871
35	0.73778	0.74871
36	0.73817	0.68621
37	0.74051	0.74871
38	0.73563	0.68621
39	0.73895	0.74871
40	0.74207	0.74871
41	0.74754	0.74871
42	0.74617	0.73309
43	0.74539	0.73309
44	0.74871	0.74871
45	0.74793	0.74871
46	0.74793	0.74870
47	0.74149	0.74871
48	0.74559	0.74871
49	0.74871	0.74871
50	0.74793	0.74871
51	0.74871	0.74870
52	0.74402	0.73309
53	0.74559	0.74871
54	0.74559	0.74871
55	0.74559	0.74871
56	0.74500	0.74871
57	0.74656	0.73309
58	0.74715	0.74871
59	0.74481	0.74871
60	0.74813	0.74871
61	0.74852	0.74871
62	0.74481	0.74871
63	0.74480	0.74871
64	0.74070	0.74870
65	0.73992	0.73309
66	0.74871	0.74871
67	0.74539	0.74871
68	0.74539	0.74871
69	0.74715	0.74871
70	0.74383	0.74871
71	0.73758	0.74871
72	0.74227	0.74871
73	0.74520	0.74481
74	0.74520	0.74871
75	0.74227	0.74871
76	0.73914	0.68621
77	0.73543	0.74871
78	0.73934	0.74871
79	0.73934	0.68621
80	0.74402	0.74871
81	0.74480	0.74871
82	0.74324	0.74870
83	0.73426	0.74871
84	0.73934	0.74871
85	0.74246	0.74871
86	0.74090	0.68621
87	0.74110	0.74871
88	0.74851	0.74871
89	0.74559	0.68621
90	0.74851	0.74871
91	0.74793	0.74871
92	0.73855	0.74871
93	0.74246	0.74871
94	0.74871	0.74870
95	0.74559	0.74871
96	0.74871	0.74871
97	0.74871	0.74871
98	0.74559	0.74871
99	0.74520	0.74871
100	0.74246	0.74871
101	0.74852	0.74871
102	0.74774	0.74871
103	0.74715	0.73309
104	0.74871	0.74871
105	0.74715	0.73309
106	0.74793	0.74871
107	0.74871	0.74871
108	0.74559	0.74871
109	0.74774	0.74871
110	0.74461	0.74871
111	0.74246	0.74871
112	0.74227	0.74871
113	0.74871	0.74871
114	0.74246	0.74871
115	0.74246	0.74871
116	0.74442	0.74871
117	0.74051	0.73309
118	0.73777	0.74871
119	0.73446	0.68621
120	0.74051	0.73309
121	0.73465	0.73309
122	0.72840	0.73309
123	0.73153	0.73309
124	0.72918	0.68621
125	0.73230	0.73307
126	0.73387	0.74871
127	0.73621	0.74871
128	0.74559	0.74871
129	0.74637	0.74871
130	0.74871	0.74871
131	0.74559	0.74870
132	0.73934	0.74871
133	0.74168	0.74871
134	0.73934	0.74871
135	0.74539	0.74871
136	0.74832	0.74871
137	0.74813	0.74871
138	0.74227	0.74871
139	0.74832	0.74871
140	0.74832	0.74870
141	0.74852	0.74871
142	0.74774	0.74871
143	0.74715	0.74871
144	0.74715	0.74871
145	0.74871	0.74871
146	0.74871	0.74871
147	0.74559	0.74871
148	0.73660	0.74871
149	0.74266	0.74871
150	0.73016	0.68621
151	0.72840	0.72918
152	0.72860	0.74871
153	0.73621	0.68621
154	0.73621	0.74871
155	0.74383	0.74870
156	0.74559	0.74871
157	0.74480	0.74871
158	0.74559	0.74871
159	0.74246	0.74871
160	0.74207	0.74871
161	0.74637	0.74871
162	0.74383	0.74871
163	0.74246	0.73309
164	0.74402	0.74481
165	0.74715	0.74481
166	0.74500	0.74871
167	0.74441	0.74871
168	0.73875	0.68621
169	0.74539	0.74871
170	0.74461	0.74871
171	0.74481	0.68621
172	0.73778	0.74871
173	0.73778	0.74871
174	0.74637	0.74871
175	0.74305	0.73309
176	0.74402	0.74871
177	0.74149	0.74871
178	0.74090	0.68621
179	0.74539	0.68621
180	0.74539	0.74871
181	0.74559	0.74871
182	0.74559	0.68621
183	0.74559	0.74871
184	0.74695	0.73309
185	0.74832	0.74871
186	0.74832	0.74871
187	0.74773	0.74871
188	0.74539	0.73309
189	0.74285	0.72918
190	0.74402	0.74871
191	0.74559	0.74871
192	0.74871	0.74871
193	0.74871	0.74871
194	0.74559	0.74871
195	0.74559	0.74871
196	0.74852	0.74871
197	0.74696	0.74871
198	0.74442	0.74871
199	0.74696	0.74871
