Gen	avgX	bestX
0	0.50953	0.85190
1	0.56878	0.59552
2	0.63412	0.82753
3	0.66514	0.66792
4	0.71065	0.66743
5	0.72906	0.72060
6	0.72882	0.76479
7	0.71795	0.72060
8	0.66457	0.75079
9	0.68644	0.75075
10	0.71963	0.66522
11	0.72890	0.76479
12	0.72622	0.75958
13	0.74440	0.75214
14	0.75013	0.75800
15	0.74566	0.75804
16	0.75348	0.75800
17	0.73257	0.75019
18	0.70815	0.75990
19	0.70857	0.75800
20	0.70834	0.75800
21	0.72225	0.75800
22	0.72089	0.75800
23	0.70352	0.75800
24	0.74093	0.75794
25	0.76592	0.75794
26	0.76425	0.75796
27	0.76894	0.75794
28	0.77670	0.78919
29	0.78767	0.75794
30	0.78926	0.75794
31	0.74553	0.75800
32	0.75500	0.75794
33	0.74260	0.75794
34	0.75361	0.75794
35	0.77734	0.75990
36	0.78361	0.75794
37	0.77169	0.75990
38	0.77135	0.76038
39	0.76485	0.75794
40	0.76171	0.75843
41	0.75409	0.75990
42	0.75853	0.75990
43	0.76602	0.75990
44	0.77215	0.75794
45	0.77367	0.78919
46	0.73451	0.75797
47	0.70814	0.75794
48	0.71429	0.75794
49	0.69124	0.75794
50	0.65838	0.75794
51	0.70821	0.75794
52	0.75821	0.75797
53	0.76419	0.75794
54	0.76578	0.75794
55	0.74564	0.75794
56	0.70971	0.75794
57	0.72213	0.75794
58	0.70799	0.75794
59	0.73922	0.75794
60	0.72047	0.75794
61	0.74723	0.75843
62	0.75829	0.75794
63	0.73963	0.75794
64	0.73329	0.75794
65	0.72047	0.75794
66	0.74557	0.75794
67	0.73451	0.75794
68	0.70482	0.75794
69	0.68763	0.75794
70	0.73773	0.75794
71	0.71295	0.75794
72	0.73649	0.75990
73	0.76488	0.75797
74	0.76010	0.78919
75	0.75068	0.75797
76	0.73652	0.75794
77	0.75813	0.75797
78	0.76736	0.75797
79	0.76421	0.75797
80	0.77524	0.75797
81	0.74402	0.78968
82	0.73503	0.75798
83	0.75986	0.75794
84	0.74587	0.75797
85	0.76440	0.75797
86	0.76450	0.75797
87	0.76451	0.75794
88	0.74564	0.75794
89	0.77377	0.78919
90	0.78161	0.75794
91	0.78463	0.75794
92	0.77367	0.75794
93	0.78463	0.78919
94	0.79098	0.75794
95	0.79718	0.75843
96	0.77538	0.75843
97	0.76925	0.75794
98	0.77547	0.75794
99	0.76925	0.75843
100	0.76129	0.75794
101	0.77694	0.75794
102	0.76447	0.75794
103	0.76441	0.75794
104	0.75804	0.75794
105	0.74547	0.75794
106	0.75794	0.75794
107	0.75182	0.75794
108	0.72828	0.75794
109	0.73297	0.75794
110	0.75169	0.75794
111	0.72044	0.75794
112	0.67201	0.75794
113	0.68455	0.75794
114	0.72513	0.75794
115	0.72674	0.75797
116	0.76117	0.75794
117	0.75795	0.75794
118	0.75795	0.75794
119	0.75953	0.75794
120	0.76888	0.75794
121	0.76430	0.75794
122	0.75805	0.75794
123	0.75182	0.75794
124	0.77045	0.75794
125	0.76576	0.75797
126	0.76578	0.75794
127	0.74867	0.75797
128	0.74564	0.75797
129	0.78294	0.75794
130	0.80169	0.75794
131	0.77203	0.75794
132	0.73451	0.75794
133	0.75482	0.75794
134	0.75963	0.75794
135	0.73314	0.75794
136	0.74557	0.75794
137	0.73294	0.75794
138	0.74078	0.75794
139	0.77064	0.75843
140	0.75809	0.75794
141	0.75814	0.75794
142	0.75831	0.75843
143	0.75819	0.75794
144	0.76444	0.75797
145	0.77687	0.75794
146	0.77047	0.75794
147	0.75965	0.75794
148	0.75953	0.75794
149	0.76275	0.75794
150	0.75809	0.75794
151	0.74703	0.75794
152	0.73929	0.75990
153	0.73929	0.75794
154	0.76451	0.75794
155	0.74566	0.75798
156	0.73942	0.75794
157	0.75182	0.75794
158	0.77044	0.75794
159	0.74857	0.75794
160	0.75951	0.75794
161	0.75980	0.75794
162	0.75990	0.75794
163	0.77093	0.75794
164	0.75836	0.75794
165	0.75831	0.75990
166	0.72689	0.75794
167	0.72203	0.75794
168	0.72987	0.75794
169	0.73934	0.75794
170	0.72833	0.75794
171	0.76271	0.75794
172	0.74869	0.75843
173	0.73956	0.75990
174	0.72699	0.75843
175	0.74269	0.75794
176	0.75519	0.75990
177	0.75548	0.75794
178	0.76318	0.75797
179	0.75981	0.75797
180	0.75971	0.78919
181	0.75807	0.75794
182	0.76266	0.75794
183	0.76109	0.75794
184	0.75482	0.78919
185	0.74857	0.75794
186	0.76136	0.75794
187	0.75980	0.75794
188	0.75970	0.75794
189	0.77367	0.75794
190	0.79085	0.75990
191	0.78763	0.75794
192	0.75326	0.78919
193	0.76581	0.75797
194	0.77369	0.75794
195	0.78307	0.75794
196	0.77545	0.75990
197	0.75836	0.75794
198	0.76012	0.75843
199	0.75968	0.75797
